# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.1321,1.0000,1.0000,0.2333,0.9292,0.9017
2.0000,0.1321,0.7778,0.9623,0.2258,0.8225,0.8775
3.0000,0.1321,1.0000,1.0000,0.2333,0.9524,0.9352
4.0000,0.1321,0.8750,0.9811,0.2295,0.8699,0.8918
5.0000,0.1321,1.0000,1.0000,0.2333,0.9202,0.9053
6.0000,0.1321,1.0000,1.0000,0.2333,0.9055,0.8879
7.0000,0.1321,0.8750,0.9811,0.2295,0.9044,0.9039
8.0000,0.1321,1.0000,1.0000,0.2333,0.8778,0.8928
9.0000,0.1321,0.8750,0.9811,0.2295,0.9013,0.8985
10.0000,0.1321,1.0000,1.0000,0.2333,0.9307,0.9042
11.0000,0.1321,1.0000,1.0000,0.2333,0.9340,0.9074
12.0000,0.1321,1.0000,1.0000,0.2333,0.9381,0.9156
13.0000,0.1321,0.8750,0.9811,0.2295,0.8895,0.8900
14.0000,0.1321,1.0000,1.0000,0.2333,0.9012,0.8918
15.0000,0.1321,0.8750,0.9811,0.2295,0.7939,0.8480
16.0000,0.1321,1.0000,1.0000,0.2333,0.9199,0.9153
17.0000,0.1321,1.0000,1.0000,0.2333,0.9039,0.8889
18.0000,0.1321,1.0000,1.0000,0.2333,0.9355,0.9146
19.0000,0.1321,1.0000,1.0000,0.2333,0.9274,0.9071
20.0000,0.1321,1.0000,1.0000,0.2333,0.9392,0.9146
21.0000,0.1321,1.0000,1.0000,0.2333,0.8271,0.8423
22.0000,0.1321,1.0000,1.0000,0.2333,0.9470,0.9231
23.0000,0.1321,0.8750,0.9811,0.2295,0.8669,0.8665
24.0000,0.1321,1.0000,1.0000,0.2333,0.8872,0.8932
25.0000,0.1321,1.0000,1.0000,0.2333,0.9430,0.9213
26.0000,0.1321,1.0000,1.0000,0.2333,0.9263,0.9003
27.0000,0.1321,1.0000,1.0000,0.2333,0.8933,0.8953
28.0000,0.1321,1.0000,1.0000,0.2333,0.9451,0.9188
29.0000,0.1321,1.0000,1.0000,0.2333,0.9410,0.9142
30.0000,0.1321,1.0000,1.0000,0.2333,0.9320,0.9099
31.0000,0.1321,1.0000,1.0000,0.2333,0.8860,0.8743
32.0000,0.1321,1.0000,1.0000,0.2333,0.9394,0.9149
33.0000,0.1321,0.8750,0.9811,0.2295,0.8987,0.8960
34.0000,0.1321,1.0000,1.0000,0.2333,0.8961,0.8868
35.0000,0.1321,1.0000,1.0000,0.2333,0.9007,0.8900
36.0000,0.1321,0.7778,0.9623,0.2258,0.8200,0.8558
37.0000,0.1321,1.0000,1.0000,0.2333,0.9348,0.9089
38.0000,0.1321,0.8750,0.9811,0.2295,0.8388,0.8736
39.0000,0.1321,1.0000,1.0000,0.2333,0.9029,0.8950
40.0000,0.1321,1.0000,1.0000,0.2333,0.9375,0.9124
41.0000,0.1321,1.0000,1.0000,0.2333,0.9352,0.9071
42.0000,0.1321,1.0000,1.0000,0.2333,0.8879,0.8932
43.0000,0.1321,1.0000,1.0000,0.2333,0.9091,0.8943
44.0000,0.1321,1.0000,1.0000,0.2333,0.9087,0.9046
45.0000,0.1321,0.8750,0.9811,0.2295,0.8237,0.8644
46.0000,0.1321,1.0000,1.0000,0.2333,0.9388,0.9220
47.0000,0.1321,0.8750,0.9811,0.2295,0.9024,0.9017
48.0000,0.1321,1.0000,1.0000,0.2333,0.9464,0.9242
49.0000,0.1321,1.0000,1.0000,0.2333,0.8980,0.8864
50.0000,0.1321,1.0000,1.0000,0.2333,0.8684,0.8697
